season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2019-20,1610612755,39,26,0.6,25,45,10,14,87,0.465,56,0.522,31,0.362,22,0.752,20,109
2019-20,1610612756,26,39,0.4,27,43,9,15,87,0.464,56,0.525,31,0.353,24,0.826,22,112
2019-20,1610612757,29,37,0.439,20,45,10,13,90,0.461,57,0.513,33,0.372,21,0.798,21,113
2019-20,1610612758,28,36,0.438,23,42,9,14,87,0.459,53,0.52,34,0.364,20,0.769,21,109
2019-20,1610612759,27,36,0.429,24,44,8,12,89,0.47,61,0.515,28,0.371,22,0.809,19,113
2019-20,1610612760,40,24,0.625,21,42,8,13,85,0.473,56,0.534,29,0.355,24,0.797,18,110
2019-20,1610612761,46,18,0.719,25,45,9,14,88,0.458,51,0.521,37,0.371,22,0.8,21,113
2019-20,1610612762,41,23,0.641,22,45,8,14,84,0.475,50,0.538,34,0.383,22,0.772,20,111
2019-20,1610612763,32,33,0.492,27,46,10,15,91,0.47,60,0.531,31,0.352,21,0.761,20,112
2019-20,1610612764,24,40,0.375,25,41,10,14,91,0.461,58,0.512,33,0.372,24,0.787,22,115
2019-20,1610612765,20,46,0.303,24,41,9,15,85,0.459,53,0.515,32,0.367,22,0.743,19,107
2019-20,1610612766,23,42,0.354,23,42,11,14,85,0.434,51,0.489,34,0.352,21,0.748,18,102
